model,accuracy,macro_f1
catboost,0.8190143354981784,0.7927918001432585
lightgbm,0.8134009187391098,0.7872127345363545
random_forest,0.8130544115317598,0.7842333971580859
keras_mlp,0.8074112941549184,0.7813637941119086
logistic_regression,0.7094784571519087,0.6580138679706956
