iter	MultiClass
0	1.024445991
1	0.9583380182
2	0.8996013118
3	0.8459758834
4	0.7975083156
5	0.7532548993
6	0.7126609388
7	0.6755890846
8	0.641446442
9	0.6094615552
10	0.5799140449
11	0.5524114878
12	0.5266211043
13	0.5025242444
14	0.4801491562
15	0.459136123
16	0.4393908047
17	0.4206167894
18	0.4029175777
19	0.3864012729
20	0.3707945002
21	0.3559377232
22	0.342107288
23	0.3288787035
24	0.3164175643
25	0.3046929328
26	0.293517504
27	0.2827893098
28	0.2726523038
29	0.2630254421
30	0.2539154101
31	0.2452234621
32	0.2369277859
33	0.2290810193
34	0.2216171136
35	0.214490789
36	0.2077229198
37	0.2012642897
38	0.1951067252
39	0.1892539596
40	0.1837522485
41	0.1784314051
42	0.1734042971
43	0.1686060359
44	0.1640251892
45	0.1596343771
46	0.1554215136
47	0.1514404569
48	0.1476349526
49	0.1440427025
50	0.1405662921
51	0.1372744229
52	0.134082761
53	0.1310395764
54	0.1281773416
55	0.125395324
56	0.1227318804
57	0.1202043495
58	0.1177845824
59	0.115435166
60	0.113206171
61	0.1110927005
62	0.1090623172
63	0.1071058313
64	0.1052466166
65	0.1034652391
66	0.1017632506
67	0.1001133295
68	0.09853600353
69	0.09706989398
70	0.09565979302
71	0.09427492213
72	0.09295207287
73	0.09169662234
74	0.09052538746
75	0.08940289662
76	0.0883061524
77	0.08725818567
78	0.08623825689
79	0.08529765224
80	0.08437535635
81	0.08350249204
82	0.08264103111
83	0.08185302601
84	0.08107810036
85	0.08032633068
86	0.07959354206
87	0.07890511784
88	0.07825904283
89	0.07763378987
90	0.07702393737
91	0.07644917277
92	0.07594161206
93	0.07540878407
94	0.07489404989
95	0.07444890874
96	0.07397741272
97	0.07352215212
98	0.0731035549
99	0.07269915353
100	0.07235983371
101	0.07198831784
102	0.07167328925
103	0.07132903597
104	0.07104067174
105	0.07071570047
106	0.07047048585
107	0.07020565106
108	0.06997636833
109	0.06972070458
110	0.06945080294
111	0.06916309689
112	0.06894453246
113	0.06875404224
114	0.0685608918
115	0.06835037447
116	0.0681807249
117	0.06804164261
118	0.0678919014
119	0.06775234375
120	0.06759876729
121	0.06749421751
122	0.06737605833
123	0.06724916166
124	0.06707860925
125	0.06696732528
126	0.06683600462
127	0.06668600235
128	0.06659551378
129	0.06648776289
130	0.06640182102
131	0.06630719658
132	0.06617547898
133	0.06607897859
134	0.0660049528
135	0.065906455
136	0.06578596351
137	0.06569878227
138	0.06561231179
139	0.06554405374
140	0.06544091239
141	0.06534443395
142	0.06526347751
143	0.06520530571
144	0.06515023612
145	0.06508323979
146	0.06502367672
147	0.06497942987
148	0.06490700395
149	0.06484545715
150	0.06480456181
151	0.06474021741
152	0.06468167453
153	0.06463651869
154	0.0645599651
155	0.06453498024
156	0.06450958151
157	0.06445166122
158	0.06441415513
159	0.06435860889
160	0.06426625772
161	0.0642167775
162	0.06417412411
163	0.06413609615
164	0.06406469774
165	0.06403019441
166	0.06399494717
167	0.06392623541
168	0.06389371875
169	0.06385928329
170	0.0638263311
171	0.06381159855
172	0.06376433631
173	0.06374211807
174	0.06369499741
175	0.06367530025
176	0.06364579203
177	0.06362537605
178	0.06358538542
179	0.06355431997
180	0.06350790816
181	0.06348963361
182	0.0634686368
183	0.06341524642
184	0.06337642423
185	0.06335482956
186	0.06331465885
187	0.06328972318
188	0.0632377926
189	0.06319554635
190	0.06314328543
191	0.06311891998
192	0.06307619507
193	0.0630522073
194	0.06302862214
195	0.06299411462
196	0.0629707875
197	0.06295993393
198	0.06292628767
199	0.06289274864
